date,country,city,landingPagePlusQueryString,activeUsers,newUsers
2024-07-10,United States,Cambridge,/,1,1
2024-07-11,Germany,Mannheim,/,1,1
2024-07-12,China,Huainan,/,1,1
2024-07-12,United States,New York,/,1,1
2024-07-12,Japan,Sapporo,/,1,1
2024-07-13,Japan,Minato City,/,1,1
2024-07-13,United States,(not set),/,1,1
2024-07-13,Austria,Vienna,/,1,1
2024-07-14,(not set),(not set),/research/,1,1
2024-07-14,Canada,Burnaby,/research/,1,1
2024-07-14,France,Paris,/research/,1,1
2024-07-14,United States,(not set),/,1,1
2024-07-14,United States,(not set),/research/,1,1
2024-07-14,United States,Coffeyville,/research/,1,1
2024-07-15,United States,Gardiner,/,2,2
2024-07-15,Hong Kong,(not set),/,2,2
2024-07-15,United States,San Mateo,/,1,1
2024-07-15,United States,Los Angeles,/,1,1
2024-07-15,United States,Boardman,/research/,1,1
2024-07-15,United States,Newton,/,1,1
2024-07-15,United States,Boise,/research/,1,1
2024-07-16,South Korea,Seoul,/,1,1
2024-07-17,Japan,Ibaraki,/,1,1
2024-07-17,United States,(not set),/,2,2
2024-07-18,South Korea,Seoul,/,1,0
2024-07-19,United States,New York,/,1,1
2024-07-20,South Korea,Seoul,/,1,0
2024-07-22,China,(not set),/,11,11
2024-07-22,China,Dingxi,/,1,1
2024-07-22,Japan,Taito City,/ja/,1,1
2024-07-23,Japan,Shinjuku City,/ja/,1,1
2024-07-23,United States,(not set),/,2,2
2024-07-26,United States,Hackensack,/research/,1,1
2024-07-28,United States,(not set),/,2,2
2024-07-29,United States,New York,/,2,2
2024-07-29,(not set),(not set),/,1,1
2024-07-30,Japan,Osaka,/ja/,1,0
2024-07-31,Germany,Mannheim,/ja/,1,1
2024-08-01,United States,Houston,/,1,1
2024-08-01,United States,Los Angeles,/,1,1
2024-08-03,China,(not set),/,4,4
2024-08-03,China,Shenzhen,/,1,1
2024-08-03,China,Xi'An,/,1,1
2024-08-03,China,Diqing Tibetan Autonomous Prefecture,/,1,1
2024-08-04,Japan,Sumida City,/,1,1
2024-08-05,Japan,Kitakyushu,/ja/,1,1
2024-08-06,United States,New York,/,1,0
2024-08-07,United States,Columbus,/,1,1
2024-08-07,United States,(not set),/,1,1
2024-08-07,Malaysia,Kuala Lumpur,/,1,1
2024-08-07,United States,New York,/,1,1
2024-08-08,United States,New York,/,3,3
2024-08-09,United States,Baltimore,/,2,2
2024-08-09,United States,New York,/,3,3
2024-08-10,United States,New York,/,3,2
2024-08-10,United States,Boston,/,1,1
2024-08-10,United States,New York,(not set),1,0
2024-08-11,Japan,Osaka,/,1,1
2024-08-11,United States,New York,/,2,2
2024-08-12,China,(not set),/,1,1
2024-08-12,China,Xilingol League,/,1,1
2024-08-12,India,Pune,/,1,1
2024-08-12,United States,Nanticoke,/,1,0
2024-08-12,China,Wuhan,/,1,1
2024-08-12,United States,Howard City,/,1,1
2024-08-12,United States,New York,/,2,2
2024-08-12,China,Beijing,/,2,2
2024-08-13,United Kingdom,London,/,1,1
2024-08-14,Germany,Frankfurt,/,1,1
2024-08-14,Germany,Leipzig,/research/,1,1
2024-08-14,Japan,Akashi,/,1,1
2024-08-14,Japan,Shinjuku City,/ja/,1,1
2024-08-14,Japan,Utsunomiya,/,1,0
2024-08-15,United States,New York,/,1,1
2024-08-15,United States,(not set),/,2,2
2024-08-15,Japan,Kyoto,/ja/,1,1
2024-08-16,France,Toulouse,/,1,1
2024-08-16,United States,Los Angeles,/research/,1,1
2024-08-16,United States,New York,/,1,3
2024-08-18,China,Jiaxing,/,1,1
2024-08-18,China,Nanning,/1,1,1
2024-08-18,United States,(not set),/,2,2
2024-08-18,China,Tianjin,/,1,1
2024-08-18,China,Xi'An,/,1,1
2024-08-18,Japan,Chiyoda City,/,1,1
2024-08-18,China,(not set),/,5,5
2024-08-19,Malaysia,Kuala Lumpur,/research/,1,1
2024-08-21,China,Shanghai,/,1,1
2024-08-21,Japan,Kitakyushu,/,1,1
2024-08-21,Japan,Shibuya City,/,1,1
2024-08-22,United States,New York,/,1,1
2024-08-22,Japan,Kitakyushu,/,1,0
2024-08-22,China,Shanghai,/,1,1
2024-08-22,China,Xiamen,/,1,1
2024-08-22,China,(not set),/,1,1
2024-08-22,China,(not set),/1,1,1
2024-08-22,China,Beijing,/,1,1
2024-08-22,China,Xilingol League,/,1,1
2024-08-22,China,Chongqing,/,1,1
2024-08-22,China,Diqing Tibetan Autonomous Prefecture,/,1,1
2024-08-23,United States,Houston,/,1,0
2024-08-24,United States,Cambridge,/,1,1
2024-08-24,United States,Houston,/,1,1
2024-08-24,United States,New York,/,1,1
2024-08-24,United States,New York,/research/,1,0
2024-08-25,United States,(not set),/,2,2
2024-08-25,Japan,Yokohama,/ja/,1,1
2024-08-25,United States,Waltham,/,1,1
2024-08-26,Indonesia,West Karawang,/,1,1
2024-08-26,Japan,Toyonaka,/,1,1
2024-08-27,United States,(not set),/,2,2
2024-08-27,Japan,Chiyoda City,/,1,0
2024-08-27,Japan,Shinjuku City,/,1,1
2024-08-27,Japan,Toyonaka,/,1,0
2024-08-28,China,Tianjin,/,1,1
2024-08-28,China,Chongqing,/,1,1
2024-08-28,China,Shanghai,/,2,2
2024-08-28,China,(not set),/,9,9
2024-08-28,China,Beijing,//0.0.0.1/,1,1
2024-08-28,China,Hangzhou,/,1,1
2024-08-30,Japan,Osaka,/,1,1
2024-09-01,Japan,Kobe,/,1,1
2024-09-01,United States,(not set),/,2,2
2024-09-02,United States,Los Angeles,/research/,1,1
2024-09-02,United States,New York,/research/,1,1
2024-09-03,Japan,(not set),/,1,1
2024-09-03,United States,Houston,/,1,1
2024-09-04,Canada,Toronto,/,1,1
2024-09-05,Japan,Itabashi City,/ja/,1,1
2024-09-06,United States,(not set),/,1,1
2024-09-07,Japan,Osaka,/,1,1
2024-09-07,United States,(not set),/,2,2
2024-09-09,Netherlands,(not set),/,1,0
2024-09-09,Russia,Lobnya,/,1,1
2024-09-09,United Kingdom,(not set),/,1,1
2024-09-09,United States,Ashburn,/,1,1
2024-09-09,United States,Mountain View,/,1,1
2024-09-09,United States,San Jose,/,1,1
2024-09-09,United States,Washington,/02505993-5b15-401b-b02f-cbfcd14386b5,1,1
2024-09-09,Seychelles,(not set),/,3,3
2024-09-09,United States,(not set),/,2,1
2024-09-09,United States,Washington,/,2,2
2024-09-09,United States,San Jose,/research/,1,1
2024-09-10,Singapore,(not set),/,1,1
2024-09-11,Indonesia,Surabaya,/research/,1,1
2024-09-12,Indonesia,Jakarta,/,1,1
2024-09-13,Indonesia,(not set),/,1,1
2024-09-13,Japan,Osaka,/,1,1
2024-09-14,Japan,Kitakyushu,/,1,1
2024-09-15,Germany,Steinfeld,/research/,1,1
2024-09-17,United States,New York,/,2,2
2024-09-18,United States,(not set),/,2,2
2024-09-18,Singapore,Singapore,/,1,1
2024-09-18,India,(not set),/,1,1
2024-09-19,Japan,(not set),/,1,1
2024-09-19,Japan,Kawasaki,/,1,1
2024-09-20,United States,New York,/,1,1
2024-09-21,Türkiye,Istanbul,/,1,1
2024-09-21,Japan,Shibuya City,/,2,2
2024-09-21,Germany,(not set),/,1,1
2024-09-21,Japan,(not set),/,1,1
2024-09-21,Japan,Kawasaki,(not set),1,0
2024-09-22,United States,Bloomsburg,/,1,1
2024-09-22,United States,Ocala,/,1,0
2024-09-24,United States,New York,/,1,0
2024-09-25,United States,Richardson,/,1,1
2024-09-25,United States,New York,/,1,1
2024-09-25,United States,(not set),/,2,2
2024-09-25,Japan,(not set),/,1,1
2024-09-25,Japan,Chiyoda City,/,1,1
2024-09-26,United States,Los Angeles,/,1,1
2024-09-27,United States,Seattle,/,1,1
2024-09-28,(not set),(not set),/,1,1
2024-09-28,United States,Chapel Hill,/,1,1
2024-09-28,United States,New York,/,2,1
2024-09-29,Japan,Kawaguchi,/,1,1
2024-09-29,South Korea,Daegu,/research/,1,1
2024-09-29,United States,New York,/,1,1
2024-09-30,United States,Gainesville,/,1,1
2024-09-30,United States,New York,/,1,1
2024-10-01,United States,(not set),/,2,2
2024-10-01,United States,New York,/,2,0
2024-10-01,Japan,Tsukuba,/ja/,1,1
2024-10-03,Thailand,Bang Kadi,/,1,1
2024-10-04,Taiwan,(not set),/,1,1
2024-10-04,United States,New York,/,1,1
2024-10-05,Japan,Shibuya City,/,1,1
2024-10-05,United States,New York,/,1,1
2024-10-06,Japan,Kanazawa,/research/,1,1
2024-10-06,United States,Jersey City,/research/,1,1
2024-10-08,Malaysia,Kuala Lumpur,/,1,1
2024-10-08,United States,Midlothian,/,2,2
2024-10-08,United States,New York,(not set),1,0
2024-10-08,Japan,Setagaya City,/ja/,1,1
2024-10-09,United States,Chicago,/,1,1
2024-10-09,Japan,Awara,/,1,1
2024-10-09,Japan,Chiyoda City,/,1,1
2024-10-09,United States,New York,/,1,1
2024-10-10,United States,New York,/,1,1
2024-10-11,Australia,Sydney,/ja/,1,1
2024-10-11,Japan,Sapporo,/ja/,1,1
2024-10-12,United States,New York,/,1,1
2024-10-13,United States,Midlothian,/,2,2
2024-10-14,United States,New York,(not set),1,0
2024-10-14,United States,New York,/,1,1
2024-10-14,France,Toulouse,/,1,1
2024-10-14,United States,New York,/research/,1,1
2024-10-15,United States,Chicago,/,1,1
2024-10-15,United States,Hancock,/research/,1,1
2024-10-16,United States,Atlanta,/,1,0
2024-10-16,United States,Evanston,/,1,1
2024-10-16,United States,New York,/,2,1
2024-10-16,Japan,Kakegawa,/ja/,1,1
2024-10-16,Japan,Taito City,/ja/,1,1
2024-10-17,United States,Richardson,/,1,1
2024-10-17,United States,Rochester,/,1,1
2024-10-17,United States,Washington,/4b9d1b53-446e-441d-8e34-bb5a59b03e87,1,1
2024-10-17,United States,(not set),/,2,2
2024-10-17,United States,Washington,/,2,2
2024-10-18,United States,Atlanta,/,1,1
2024-10-19,United States,Palo Alto,/,1,1
2024-10-20,United States,(not set),/,2,2
2024-10-20,United States,Salt Lake City,/research/,1,1
2024-10-20,Japan,Shinagawa City,/ja/,1,1
2024-10-20,United States,New York,/,1,1
2024-10-21,United States,Ashburn,/,1,1
2024-10-21,Taiwan,(not set),/,1,1
2024-10-21,United States,(not set),/,2,2
2024-10-22,South Korea,Seoul,/,1,1
2024-10-22,Japan,Kitakyushu,/,1,0
2024-10-23,United States,Cambridge,/,1,1
2024-10-23,Taiwan,(not set),/,2,1
2024-10-23,United States,(not set),/,2,2
2024-10-24,United States,(not set),/,2,2
2024-10-24,Canada,Edmonton,/,1,1
2024-10-24,Japan,Hirakata,/,1,1
2024-10-24,United States,Gainesville,/,1,1
2024-10-24,United States,Los Angeles,/,1,1
2024-10-24,Canada,Edmonton,(not set),1,0
2024-10-24,United States,New York,/,1,1
2024-10-24,United States,New York,/research/,1,0
2024-10-25,Canada,Edmonton,/,1,0
2024-10-25,Germany,Berlin,/,1,1
2024-10-25,Taiwan,(not set),/,1,0
2024-10-25,United States,Evanston,/,1,1
2024-10-26,Hong Kong,(not set),/,1,1
2024-10-28,Japan,Setagaya City,/ja/,1,1
2024-10-28,United States,Houghton,/,1,0
2024-10-28,United States,New York,/,1,0
2024-10-29,Germany,Koblenz,/,1,1
2024-10-30,Malaysia,Kuala Lumpur,/,1,0
2024-10-30,Japan,Kyoto,/,1,1
2024-10-30,Hong Kong,Hong Kong,/,1,1
2024-10-31,United States,Gainesville,/,1,1
2024-10-31,United States,(not set),/,1,1
2024-11-01,United States,New York,/,2,2
2024-11-01,South Korea,Seoul,/,1,1
2024-11-02,United States,New York,/,2,1
2024-11-02,United States,Pearl City,/,1,1
2024-11-02,United States,New York,(not set),1,0
2024-11-02,United States,Ithaca,/,1,1
2024-11-02,United States,(not set),/,1,1
2024-11-02,Japan,Toyonaka,/,1,1
2024-11-03,United States,(not set),/,1,1
2024-11-03,Japan,Zushi,/,1,1
2024-11-04,United States,Columbus,/,1,1
2024-11-04,United States,Austin,/ja/,1,0
2024-11-04,United States,Philadelphia,/,1,1
2024-11-04,United States,New York,/,4,3
2024-11-05,United States,New York,/ja/,1,0
2024-11-05,Japan,Otsuki,/ja/,1,1
2024-11-05,Japan,(not set),/ja/,1,1
2024-11-05,Japan,Suginami City,/research/,3,3
2024-11-05,United States,New York,(not set),1,0
2024-11-05,Japan,Chiyoda City,/research/,2,2
2024-11-05,Japan,Shinjuku City,/research/,2,2
2024-11-05,United States,New York,/,2,1
2024-11-05,United States,Houston,/,1,1
2024-11-05,United States,San Jose,/,1,1
2024-11-05,United States,(not set),/,1,1
2024-11-06,Japan,Kawasaki,/research/,1,1
2024-11-06,Japan,Oyama,/research/,1,1
2024-11-06,Japan,Takatsuki,/research/,1,1
2024-11-06,United States,Coffeyville,/,1,1
2024-11-06,United States,Des Moines,/,1,1
2024-11-06,United States,Los Angeles,/,1,1
2024-11-06,United States,Chesaning,/,1,1
2024-11-06,Japan,(not set),/,1,0
2024-11-06,United States,(not set),/,2,2
2024-11-06,United States,Ashburn,/,2,2
2024-11-07,United States,New York,/,1,1
2024-11-08,United States,West Lafayette,/,1,1
2024-11-08,United States,St. Louis,/,1,1
2024-11-08,United States,Clayton,/,1,1
2024-11-09,India,Mumbai,/,1,1
2024-11-09,United States,New York,/,2,2
2024-11-09,United States,(not set),/,1,1
2024-11-09,United States,Durham,/,1,1
2024-11-10,United States,Washington,/,1,1
2024-11-10,United States,New York,/,1,0
2024-11-10,United States,Ashburn,/,1,1
2024-11-10,Taiwan,(not set),/,1,1
2024-11-10,Japan,Nakano City,/ja/,1,1
2024-11-11,United States,New York,/,2,1
2024-11-11,United States,New York,/research/,1,0
2024-11-13,United States,(not set),/,1,1
2024-11-13,United States,Kearney,/,1,0
2024-11-13,United States,Kearney,/ja/,1,1
2024-11-13,Malaysia,Puchong,/,1,1
2024-11-14,United States,(not set),/,1,1
2024-11-15,China,Kunming,//0.0.0.1/,1,1
2024-11-15,China,Nanning,//0.0.0.1/fb,1,1
2024-11-15,China,Qingdao,//0.0.0.1/fb/fwc,1,1
2024-11-15,China,Jinhua,/1,1,1
2024-11-15,China,Tianjin,//0.0.0.1/fb,1,1
2024-11-15,China,Xiamen,//0.0.0.1/fb/fwc,1,1
2024-11-15,China,Xilingol League,//0.0.0.1/fb/fwc/fzh,1,1
2024-11-15,Japan,Kawasaki,/,1,1
2024-11-15,China,Suzhou,/,1,1
2024-11-15,China,Jinhua,/,1,1
2024-11-15,China,Xi'An,/,2,2
2024-11-15,China,Guangzhou,//0.0.0.1/,1,1
2024-11-15,China,Dali,/,1,1
2024-11-15,China,Beijing,//0.0.0.1/,1,1
2024-11-15,China,(not set),//0.0.0.1/fb,1,1
2024-11-15,China,Hefei,/,1,1
2024-11-15,China,(not set),/,2,2
2024-11-15,China,(not set),//0.0.0.1/,2,2
2024-11-15,China,Qingdao,/,2,2
2024-11-15,China,Sanya,/,2,2
2024-11-16,Japan,Shibuya City,/,1,1
2024-11-16,Japan,Musashino,/,1,1
2024-11-16,United States,(not set),/,1,1
2024-11-16,Japan,Shinjuku City,/,2,2
2024-11-16,Japan,(not set),/,1,0
2024-11-17,Japan,(not set),/,1,1
2024-11-17,United States,Los Angeles,/,1,1
2024-11-18,Hong Kong,Hong Kong,/,1,1
2024-11-18,United States,(not set),/,1,1
2024-11-18,United States,New York,/,1,0
2024-11-19,United States,Boston,/,1,1
2024-11-20,Canada,(not set),/,1,1
2024-11-20,Japan,Shinjuku City,/ja/,1,1
2024-11-20,United States,Seaford,/,1,1
2024-11-21,United States,Aurora,/,1,1
2024-11-23,United States,New York,/,1,1
2024-11-23,Japan,Shinjuku City,/,1,1
2024-11-24,Japan,Kitakyushu,/research/,1,0
